"UNITID","XGRCOHRT","GRCOHRT","XUGENTER","UGENTERN","XPGRCOHR","PGRCOHRT","XRRFTCT","RRFTCT","XRRFTEX","RRFTEX","XRRFTIN","RRFTIN","XRRFTCTA","RRFTCTA","XRET_NMF","RET_NMF","XRET_PCF","RET_PCF","XRRPTCT","RRPTCT","XRRPTEX","RRPTEX","XRRPTIN","RRPTIN","XRRPTCTA","RRPTCTA","XRET_NMP","RET_NMP","XRET_PCP","RET_PCP","XSTUFACR","STUFACR"
174899,"R",374,"R",597,"R",63,"R",347,"R",0,"R",0,"R",347,"R",284,"R",82,"R",2,"R",0,"R",0,"R",2,"R",2,"R",100,"R",12
174914,"R",1737,"R",1991,"R",87,"R",1524,"R",0,"R",0,"R",1524,"R",1348,"R",88,"R",2,"R",0,"R",0,"R",2,"R",1,"R",50,"R",14
175005,"R",393,"R",779,"R",50,"R",356,"R",0,"R",0,"R",356,"R",286,"R",80,"R",3,"R",0,"R",0,"R",3,"R",0,"R",0,"R",9
175014,"R",475,"R",2028,"R",23,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",16
175078,"R",361,"R",4921,"R",7,"R",350,"R",0,"R",0,"R",350,"R",258,"R",74,"R",17,"R",0,"R",0,"R",17,"R",4,"R",24,"R",16
175227,"R",308,"R",599,"R",51,"R",42,"Z",0,"Z",0,"R",42,"R",32,"R",76,"R",3,"Z",0,"Z",0,"R",3,"R",1,"R",33,"R",12
175272,"R",1191,"R",1765,"R",67,"R",1145,"R",0,"R",0,"R",1145,"R",905,"R",79,"R",16,"R",0,"R",0,"R",16,"R",12,"R",75,"R",14
175342,"R",549,"R",892,"R",62,"R",472,"R",1,"R",0,"R",471,"R",361,"R",77,"R",33,"R",0,"R",0,"R",33,"R",9,"R",27,"R",16
175421,"R",232,"R",610,"R",38,"R",233,"R",0,"R",0,"R",233,"R",158,"R",68,"R",10,"R",0,"R",0,"R",10,"R",4,"R",40,"R",12
175430,"R",91,"R",485,"R",19,"R",106,"Z",0,"Z",0,"R",106,"R",72,"R",68,"R",2,"Z",0,"Z",0,"R",2,"Z",0,"R",0,"R",13
175616,"R",210,"R",551,"R",38,"R",207,"R",0,"R",0,"R",207,"R",138,"R",67,"R",11,"R",0,"R",0,"R",11,"R",3,"R",27,"R",12
175856,"R",918,"R",1369,"R",67,"R",919,"R",0,"R",0,"R",919,"R",573,"R",62,"R",42,"R",0,"R",0,"R",42,"R",10,"R",24,"R",14
175980,"R",179,"R",204,"R",88,"R",131,"R",0,"R",0,"R",131,"R",76,"R",58,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",9
176017,"R",5915,"R",7389,"R",80,"R",5186,"R",1,"R",0,"R",5185,"R",4522,"R",87,"R",51,"R",0,"R",0,"R",51,"R",27,"R",53,"R",18
176035,"R",173,"R",868,"R",20,"R",156,"R",0,"R",0,"R",156,"R",105,"R",67,"R",2,"R",0,"R",0,"R",2,"R",2,"R",100,"R",10
176044,"R",243,"R",935,"R",26,"R",281,"R",0,"R",0,"R",281,"R",196,"R",70,"R",60,"R",0,"R",0,"R",60,"R",40,"R",67,"R",13
176053,"R",585,"R",888,"R",66,"R",670,"R",0,"R",0,"R",670,"R",521,"R",78,"R",2,"R",0,"R",0,"R",2,"R",0,"R",0,"R",14
176080,"R",3582,"R",5649,"R",63,"R",3732,"R",0,"R",0,"R",3732,"R",3079,"R",83,"R",19,"R",0,"R",0,"R",19,"R",9,"R",47,"R",16
176318,"R",118,"R",222,"R",53,"R",64,"R",0,"R",0,"R",64,"R",54,"R",84,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",10
